code,term
70211005,GNH0004_MyocardialInfarction_narrow
70422006,GNH0004_MyocardialInfarction_narrow
73795002,GNH0004_MyocardialInfarction_narrow
233838001,GNH0004_MyocardialInfarction_narrow
304914007,GNH0004_MyocardialInfarction_narrow
401303003,GNH0004_MyocardialInfarction_narrow
401314000,GNH0004_MyocardialInfarction_narrow
1755008,GNH0005_MyocardialInfarction_extended
3546002,GNH0005_MyocardialInfarction_extended
3546002,GNH0005_MyocardialInfarction_extended
3546002,GNH0005_MyocardialInfarction_extended
11101003,GNH0005_MyocardialInfarction_extended
11101003,GNH0005_MyocardialInfarction_extended
11101003,GNH0005_MyocardialInfarction_extended
11101003,GNH0005_MyocardialInfarction_extended
11101003,GNH0005_MyocardialInfarction_extended
11101003,GNH0005_MyocardialInfarction_extended
14201006,GNH0005_MyocardialInfarction_extended
22298006,GNH0005_MyocardialInfarction_extended
22298006,GNH0005_MyocardialInfarction_extended
41339005,GNH0005_MyocardialInfarction_extended
54329005,GNH0005_MyocardialInfarction_extended
54329005,GNH0005_MyocardialInfarction_extended
57054005,GNH0005_MyocardialInfarction_extended
57054005,GNH0005_MyocardialInfarction_extended
57054005,GNH0005_MyocardialInfarction_extended
57054005,GNH0005_MyocardialInfarction_extended
65547006,GNH0005_MyocardialInfarction_extended
68466008,GNH0005_MyocardialInfarction_extended
68466008,GNH0005_MyocardialInfarction_extended
70211005,GNH0005_MyocardialInfarction_extended
70211005,GNH0005_MyocardialInfarction_extended
70422006,GNH0005_MyocardialInfarction_extended
73795002,GNH0005_MyocardialInfarction_extended
85053006,GNH0005_MyocardialInfarction_extended
85053006,GNH0005_MyocardialInfarction_extended
175021005,GNH0005_MyocardialInfarction_extended
175029007,GNH0005_MyocardialInfarction_extended
175029007,GNH0005_MyocardialInfarction_extended
232717009,GNH0005_MyocardialInfarction_extended
232717009,GNH0005_MyocardialInfarction_extended
232717009,GNH0005_MyocardialInfarction_extended
232717009,GNH0005_MyocardialInfarction_extended
232720001,GNH0005_MyocardialInfarction_extended
232721002,GNH0005_MyocardialInfarction_extended
232722009,GNH0005_MyocardialInfarction_extended
233838001,GNH0005_MyocardialInfarction_extended
304914007,GNH0005_MyocardialInfarction_extended
399261000,GNH0005_MyocardialInfarction_extended
399261000,GNH0005_MyocardialInfarction_extended
401303003,GNH0005_MyocardialInfarction_extended
401314000,GNH0005_MyocardialInfarction_extended
429639007,GNH0005_MyocardialInfarction_extended
429639007,GNH0005_MyocardialInfarction_extended
429639007,GNH0005_MyocardialInfarction_extended
429639007,GNH0005_MyocardialInfarction_extended
707828002,GNH0005_MyocardialInfarction_extended
736968006,GNH0005_MyocardialInfarction_extended
736969003,GNH0005_MyocardialInfarction_extended
736973000,GNH0005_MyocardialInfarction_extended
9.36451E+14,GNH0005_MyocardialInfarction_extended
20059004,GNH0006_IschaemicStroke
20059004,GNH0006_IschaemicStroke
71444005,GNH0006_IschaemicStroke
195216008,GNH0006_IschaemicStroke
195216008,GNH0006_IschaemicStroke
195217004,GNH0006_IschaemicStroke
195233001,GNH0006_IschaemicStroke
